"file","category","confidence","needs_visual_review","referenced","format","width","height","bytes","references"
"src/assets/Join/JoinPhoto.png","photograph","medium","true","true","png","324","316","131792","src/components/Waitlist/PostFormField.astro"
"src/assets/Manifesto/manifesto_explanation1.png","illustration or photograph","low","true","true","png","1238","844","1516329","src/components/constants/manifesto.ts"
"src/assets/Manifesto/manifesto_explanation2.png","illustration or photograph","low","true","true","png","1240","720","285725","src/components/constants/manifesto.ts"
"src/assets/Manifesto/manifesto_explanation3.png","illustration or photograph","low","true","true","png","1240","720","978848","src/components/constants/manifesto.ts"
"src/assets/Manifesto/manifesto_explanation4.png","illustration or photograph","low","true","true","png","1238","720","941041","src/components/constants/manifesto.ts"
"src/assets/Manifesto/manifesto_explanation5.png","illustration or photograph","low","true","true","png","1238","720","906287","src/components/constants/manifesto.ts"
"src/assets/Manifesto/manifesto_explanation6.png","illustration or photograph","low","true","true","png","1238","720","1130371","src/components/constants/manifesto.ts"
"src/assets/Manifesto/worldSafety1.png","illustration or photograph","low","true","true","png","1000","1002","1533276","src/components/constants/manifesto.ts"
"src/assets/Manifesto/worldSafety2.png","illustration or photograph","low","true","true","png","1000","1000","1454030","src/components/constants/manifesto.ts"
"src/assets/Manifesto/worldSafety3.png","illustration or photograph","low","true","true","png","1000","1000","412210","src/components/constants/manifesto.ts"
"src/assets/Navbar/Account.png","icon","medium","true","false","png","48","48","1313",""
"src/assets/Navbar/ChatGPTImage.png","generated artwork","high","true","false","png","1024","1024","1777809",""
"src/assets/Navbar/Eyeagle.png","icon","medium","true","false","png","244","54","3007",""
"src/assets/Navbar/EyeagleLogo.png","logo","high","false","false","png","649","144","7875",""
"src/assets/Navbar/EyeagleLogoBlack.png","logo","high","false","false","png","1240","198","13050",""
"src/assets/Navbar/EyeagleLogoMobile.png","logo","high","false","false","png","94","24","1649",""
"src/assets/Navbar/EyeagleLogoMobileBlack.png","logo","high","false","false","png","94","24","995",""
"src/assets/Navbar/EyeagleRevampLogo.png","logo","high","false","false","png","186","28","1338",""
"src/assets/Navbar/EyeagleSecondLogo.png","logo","high","false","false","png","120","28","1359",""
"src/assets/Navbar/Frame7.jpg","illustration or photograph","low","true","true","jpeg","2880","2640","991422","src/components/constants/home.ts"
"src/assets/Navbar/FrameNew.jpg","illustration or photograph","low","true","false","jpeg","4321","3971","2218945",""
"src/assets/Navbar/HeroImage.png","illustration or photograph","low","true","true","png","1920","1776","3902597","src/components/constants/app.ts"
"src/assets/Navbar/HeroImage1.png","illustration or photograph","low","true","false","png","640","592","611778",""
"src/assets/Navbar/HeroSection.png","illustration or photograph","low","true","false","png","1440","823","1969935",""
"src/assets/Navbar/WhatsAppImage.jpeg","photograph","medium","true","false","jpeg","787","1600","98021",""
"src/assets/Navbar/bathroomImage1.png","product imagery","medium","true","false","png","972","1200","1751146",""
"src/assets/Navbar/bathroomImage1new.png","product imagery","medium","true","true","png","888","816","1076650","src/components/constants/home.ts"
"src/assets/Navbar/bathroomImage2.png","product imagery","medium","true","false","png","966","1200","1491113",""
"src/assets/Navbar/bathroomImage3.png","product imagery","medium","true","false","png","966","1200","936620",""
"src/assets/Navbar/bathroomImage3new.png","product imagery","medium","true","true","png","888","816","577235","src/components/constants/home.ts"
"src/assets/Navbar/bathroomImage4.png","product imagery","medium","true","false","png","966","1200","42471",""
"src/assets/Navbar/bathroomImage4new.png","product imagery","medium","true","true","png","296","272","60246","src/components/constants/home.ts"
"src/assets/Navbar/bathroomimage2new.png","product imagery","medium","true","false","png","888","816","966978",""
"src/assets/Navbar/desireImage.png","illustration or photograph","low","true","true","png","1440","900","1478436","src/pages/solution.astro"
"src/assets/Navbar/guardianKit.png","product imagery","medium","true","true","png","1932","1274","3406315","src/components/Home/ServiceSection.astro"
"src/assets/Navbar/guardiankit01.png","product imagery","medium","true","true","png","361","292","134009","src/components/Home/ServiceSection.astro"
"src/assets/Navbar/guardiankit02.png","product imagery","medium","true","true","png","362","293","23874","src/components/Home/ServiceSection.astro"
"src/assets/Navbar/guardiankit03.png","product imagery","medium","true","true","png","362","293","40772","src/components/Home/ServiceSection.astro"
"src/assets/Navbar/guardiankit1.png","product imagery","medium","true","false","png","1340","758","1437106",""
"src/assets/Navbar/guardiankit1desktop.webp","product imagery","medium","true","true","webp","1225","693","619572","src/components/Home/ServiceSection.astro"
"src/assets/Navbar/guardiankit1new.png","product imagery","medium","true","false","png","542","438","358705",""
"src/assets/Navbar/guardiankit2desktop.webp","product imagery","medium","true","true","webp","1079","693","72966","src/components/Home/ServiceSection.astro"
"src/assets/Navbar/guardiankit2new.png","product imagery","medium","true","false","png","543","439","42752",""
"src/assets/Navbar/guardiankit3.png","product imagery","medium","true","true","png","2560","758","723806","src/components/Home/ServiceSection.astro"
"src/assets/Navbar/guardiankit3Mobile.png","product imagery","medium","true","false","png","1180","758","215461",""
"src/assets/Navbar/guardiankit3new.png","product imagery","medium","true","false","png","543","508","93722",""
"src/assets/Navbar/image-02.png","illustration or photograph","low","true","false","png","1086","876","170945",""
"src/assets/Navbar/kitImage1new.png","illustration or photograph","low","true","true","png","350","280","110740","src/components/constants/home.ts"
"src/assets/Navbar/kitImage2new.png","illustration or photograph","low","true","true","png","350","280","123086","src/components/constants/home.ts"
"src/assets/Navbar/kitImage3new.png","illustration or photograph","low","true","true","png","350","584","295589","src/components/constants/home.ts"
"src/assets/Navbar/kitImage4new.png","illustration or photograph","low","true","true","png","696","280","390365","src/components/constants/home.ts"
"src/assets/Navbar/kitImage5new.png","illustration or photograph","low","true","true","png","694","280","136330","src/components/constants/home.ts"
"src/assets/Navbar/kitItem1.png","illustration or photograph","low","true","false","png","320","553","301184",""
"src/assets/Navbar/kitItem2.png","illustration or photograph","low","true","false","png","632","277","398912",""
"src/assets/Navbar/kitItem3.png","illustration or photograph","low","true","false","png","632","257","258005",""
"src/assets/Navbar/kitItem4.png","illustration or photograph","low","true","false","png","320","281","139178",""
"src/assets/Navbar/kitItem5.png","illustration or photograph","low","true","false","png","320","257","105481",""
"src/assets/Navbar/kitMobile1.png","illustration or photograph","low","true","true","png","546","840","398853","src/components/constants/home.ts"
"src/assets/Navbar/kitMobile2.png","illustration or photograph","low","true","true","png","546","840","349066","src/components/constants/home.ts"
"src/assets/Navbar/kitMobile3.png","illustration or photograph","low","true","true","png","546","841","540343","src/components/constants/home.ts"
"src/assets/Navbar/kitMobile4.png","illustration or photograph","low","true","true","png","546","841","749264","src/components/constants/home.ts"
"src/assets/Navbar/kitmobile5.png","illustration or photograph","low","true","true","png","546","847","46363","src/components/constants/home.ts"
"src/assets/Navbar/latestimage.png","illustration or photograph","low","true","false","png","1603","3331","3022015",""
"src/assets/Navbar/newimage.png","illustration or photograph","low","true","false","png","1834","3451","2995869",""
"src/assets/Navbar/ourTeam.png","illustration or photograph","low","true","false","png","1421","676","1156994",""
"src/assets/Navbar/struggle1.png","illustration or photograph","low","true","true","png","435","398","364448","src/components/constants/home.ts"
"src/assets/Navbar/struggle1mobile.png","illustration or photograph","low","true","false","png","300","261","149484",""
"src/assets/Navbar/struggle1new.png","illustration or photograph","low","true","false","png","1380","1197","2652661",""
"src/assets/Navbar/struggle2.png","illustration or photograph","low","true","true","png","434","398","334599","src/components/constants/home.ts"
"src/assets/Navbar/struggle2mobile.png","illustration or photograph","low","true","false","png","300","261","148918",""
"src/assets/Navbar/struggle2new.png","illustration or photograph","low","true","false","png","1380","1197","2655644",""
"src/assets/Navbar/struggle3.png","illustration or photograph","low","true","true","png","435","398","344759","src/components/constants/home.ts"
"src/assets/Navbar/struggle3mobile.png","illustration or photograph","low","true","false","png","900","781","1100864",""
"src/assets/Navbar/struggle3new.png","illustration or photograph","low","true","false","png","1380","1197","2562522",""
"src/assets/Navbar/takeCareImage1.png","illustration or photograph","low","true","true","png","619","361","304048","src/components/constants/home.ts"
"src/assets/Navbar/takeCareImage2.png","illustration or photograph","low","true","true","png","619","361","171879","src/components/constants/home.ts"
"src/assets/Navbar/tick.png","icon","high","false","false","png","80","80","4054",""
"src/assets/NewApp/AppInfograph.png","screenshot","medium","true","true","png","1866","1298","854959","src/components/constants/app.ts"
"src/assets/NewApp/AppStore.png","logo","high","false","true","png","564","240","37526","src/components/constants/app.ts"
"src/assets/NewApp/BackupImage.png","screenshot","medium","true","true","png","840","783","957300","src/components/constants/app.ts"
"src/assets/NewApp/CTAImage.png","illustration or photograph","low","true","true","png","2880","1112","27761","src/components/constants/app.ts"
"src/assets/NewApp/FamilyImage1.png","illustration or photograph","low","true","true","png","1620","1215","2198113","src/components/constants/app.ts"
"src/assets/NewApp/FamilyImage2.png","illustration or photograph","low","true","true","png","1620","1215","1987287","src/components/constants/app.ts"
"src/assets/NewApp/FamilyImage3.png","illustration or photograph","low","true","true","png","1620","1215","2833298","src/components/constants/app.ts"
"src/assets/NewApp/FeatureImage1.png","illustration or photograph","low","true","true","png","840","902","193735","src/components/constants/app.ts"
"src/assets/NewApp/FeatureImage2.png","illustration or photograph","low","true","true","png","840","902","216237","src/components/constants/app.ts"
"src/assets/NewApp/FeatureImage3.png","illustration or photograph","low","true","true","png","840","902","332253","src/components/constants/app.ts"
"src/assets/NewApp/FlightImage.png","illustration or photograph","low","true","true","png","2880","1403","4101679","src/components/constants/app.ts"
"src/assets/NewApp/Hero-mobile.png","illustration or photograph","low","true","false","png","393","597","4092",""
"src/assets/NewApp/Hero-new-mobile.png","illustration or photograph","low","true","true","png","790","1704","1349918","src/components/constants/app.ts"
"src/assets/NewApp/Hero.png","illustration or photograph","low","true","false","png","1440","1070","23522",""
"src/assets/NewApp/HeroImage.png","illustration or photograph","low","true","true","png","2880","1770","4695550","src/components/constants/app.ts"
"src/assets/NewApp/HeroImageMobile.png","illustration or photograph","low","true","false","png","393","526","7226",""
"src/assets/NewApp/ImageCard-1.png","illustration or photograph","low","true","true","png","682","916","1065066","src/components/constants/app.ts"
"src/assets/NewApp/ImageCard-2.png","illustration or photograph","low","true","true","png","682","916","932167","src/components/constants/app.ts"
